date,name,cumCase
2020-10-04,South East,45496
2020-10-04,South West,19306
2020-10-04,West Midlands,46335
2020-10-04,Yorkshire and The Humber,57037
2020-10-05,East Midlands,37255
2020-10-05,East of England,33129
2020-10-05,London,54793
2020-10-05,North East,31122
2020-10-05,North West,101731
2020-10-05,South East,46156
2020-10-05,South West,19790
2020-10-05,West Midlands,47241
2020-10-05,Yorkshire and The Humber,59231
2020-10-06,East Midlands,38143
2020-10-06,East of England,33621
2020-10-06,London,55709
2020-10-06,North East,32355
2020-10-06,North West,106172
2020-10-06,South East,46815
2020-10-06,South West,20191
2020-10-06,West Midlands,48300
2020-10-06,Yorkshire and The Humber,61668
2020-10-08,East Midlands,40927
2020-10-08,East of England,35046
2020-10-08,London,58271
2020-10-08,North East,34686
2020-10-08,North West,114175
2020-10-08,South East,48655
2020-10-08,South West,21479
2020-10-08,West Midlands,50326
2020-10-08,Yorkshire and The Humber,65670
2020-10-09,East Midlands,42324
2020-10-09,East of England,35713
2020-10-09,London,59728
2020-10-09,North East,35773
2020-10-09,North West,116646
2020-10-09,South East,49588
2020-10-09,South West,22123
2020-10-09,West Midlands,51131
2020-10-09,Yorkshire and The Humber,66830
2020-10-10,East Midlands,43501
2020-10-10,East of England,36260
2020-10-10,London,60902
2020-10-10,North East,36924
2020-10-10,North West,120318
2020-10-10,South East,50340
2020-10-10,South West,22671
2020-10-10,West Midlands,52227
2020-10-10,Yorkshire and The Humber,69119
2020-10-11,East Midlands,44642
2020-10-11,East of England,36578
2020-10-11,London,61539
2020-10-11,North East,37891
2020-10-11,North West,123837
2020-10-11,South East,50760
2020-10-11,South West,23012
2020-10-11,West Midlands,53173
2020-10-11,Yorkshire and The Humber,71122
2020-10-12,East Midlands,45982
2020-10-12,East of England,36959
2020-10-12,London,62340
2020-10-12,North East,39041
2020-10-12,North West,127818
2020-10-12,South East,51370
2020-10-12,South West,23398
2020-10-12,West Midlands,54111
2020-10-12,Yorkshire and The Humber,73075
2020-10-13,East Midlands,47523
2020-10-13,East of England,37616
2020-10-13,London,63781
2020-10-13,North East,40086
2020-10-13,North West,132328
2020-10-13,South East,52290
2020-10-13,South West,24162
2020-10-13,West Midlands,55197
2020-10-13,Yorkshire and The Humber,75305
2020-10-14,East Midlands,49399
2020-10-14,East of England,38460
2020-10-14,London,65503
2020-10-14,North East,41314
2020-10-14,North West,136060
2020-10-14,South East,53456
2020-10-14,South West,25059
2020-10-14,West Midlands,57001
2020-10-14,Yorkshire and The Humber,78022
2020-10-15,East Midlands,51398
2020-10-15,East of England,39381
2020-10-15,London,67346
2020-10-15,North East,42647
2020-10-15,North West,140312
2020-10-15,South East,54539
2020-10-15,South West,25801
2020-10-15,West Midlands,58241
2020-10-15,Yorkshire and The Humber,80537
2020-10-16,East Midlands,52056
2020-10-16,East of England,39958
2020-10-16,London,68740
2020-10-16,North East,43825
2020-10-16,North West,143636
2020-10-16,South East,55353
2020-10-16,South West,26378
2020-10-16,West Midlands,59937
2020-10-16,Yorkshire and The Humber,82292
2020-10-17,East Midlands,53290
2020-10-17,East of England,40586
2020-10-17,London,69906
2020-10-17,North East,44926
2020-10-17,North West,147641
2020-10-17,South East,56294
2020-10-17,South West,27178
2020-10-17,West Midlands,61057
2020-10-17,Yorkshire and The Humber,84419
2020-10-18,East Midlands,54800
2020-10-18,East of England,41407
2020-10-18,London,71552
2020-10-18,North East,45481
2020-10-18,North West,151976
2020-10-18,South East,57153
2020-10-18,South West,27727
2020-10-18,West Midlands,62439
2020-10-18,Yorkshire and The Humber,87316
2020-10-19,East Midlands,56752
2020-10-19,East of England,42126
2020-10-19,London,73497
2020-10-19,North East,46188
2020-10-19,North West,157193
2020-10-19,South East,58204
2020-10-19,South West,28250
2020-10-19,West Midlands,63822
2020-10-19,Yorkshire and The Humber,90015
2020-10-20,East Midlands,58687
2020-10-20,East of England,42873
2020-10-20,London,74977
