date,name,Deaths
2020-09-24,Yorkshire and The Humber,4378
2020-09-25,East Midlands,3612
2020-09-25,East of England,4956
2020-09-25,London,7144
2020-09-25,North East,2608
2020-09-25,North West,7587
2020-09-25,South East,6118
2020-09-25,South West,2282
2020-09-25,West Midlands,5567
2020-09-25,Yorkshire and The Humber,4386
2020-09-26,East Midlands,3624
2020-09-26,East of England,4962
2020-09-26,London,7148
2020-09-26,North East,2613
2020-09-26,North West,7602
2020-09-26,South East,6128
2020-09-26,South West,2287
2020-09-26,West Midlands,5576
2020-09-26,Yorkshire and The Humber,4394
2020-09-27,East Midlands,3624
2020-09-27,East of England,4962
2020-09-27,London,7151
2020-09-27,North East,2615
2020-09-27,North West,7605
2020-09-27,South East,6133
2020-09-27,South West,2288
2020-09-27,West Midlands,5581
2020-09-27,Yorkshire and The Humber,4396
2020-09-28,East Midlands,3625
2020-09-28,East of England,4961
2020-09-28,London,7154
2020-09-28,North East,2616
2020-09-28,North West,7612
2020-09-28,South East,6136
2020-09-28,South West,2289
2020-09-28,West Midlands,5585
2020-09-28,Yorkshire and The Humber,4399
2020-09-29,East Midlands,3629
2020-09-29,East of England,4972
2020-09-29,London,7168
2020-09-29,North East,2641
2020-09-29,North West,7649
2020-09-29,South East,6147
2020-09-29,South West,2293
2020-09-29,West Midlands,5603
2020-09-29,Yorkshire and The Humber,4412
2020-09-30,East Midlands,3638
2020-09-30,East of England,4980
2020-09-30,London,7178
2020-09-30,North East,2648
2020-09-30,North West,7681
2020-09-30,South East,6164
2020-09-30,South West,2297
2020-09-30,West Midlands,5613
2020-09-30,Yorkshire and The Humber,4422
2020-10-01,East Midlands,3645
2020-10-01,East of England,4989
2020-10-01,London,7192
2020-10-01,North East,2657
2020-10-01,North West,7706
2020-10-01,South East,6174
2020-10-01,South West,2299
2020-10-01,West Midlands,5619
2020-10-01,Yorkshire and The Humber,4432
2020-10-02,East Midlands,3649
2020-10-02,East of England,5002
2020-10-02,London,7211
2020-10-02,North East,2670
2020-10-02,North West,7745
2020-10-02,South East,6188
2020-10-02,South West,2306
2020-10-02,West Midlands,5635
2020-10-02,Yorkshire and The Humber,4448
2020-10-03,East Midlands,3652
2020-10-03,East of England,5008
2020-10-03,London,7218
2020-10-03,North East,2673
2020-10-03,North West,7763
2020-10-03,South East,6193
2020-10-03,South West,2309
2020-10-03,West Midlands,5647
2020-10-03,Yorkshire and The Humber,4462
2020-10-04,East Midlands,3656
2020-10-04,East of England,5010
2020-10-04,London,7219
2020-10-04,North East,2679
2020-10-04,North West,7776
2020-10-04,South East,6195
2020-10-04,South West,2308
2020-10-04,West Midlands,5652
2020-10-04,Yorkshire and The Humber,4469
2020-10-05,East Midlands,3656
2020-10-05,East of England,5010
2020-10-05,London,7224
2020-10-05,North East,2684
2020-10-05,North West,7784
2020-10-05,South East,6195
2020-10-05,South West,2308
2020-10-05,West Midlands,5657
2020-10-05,Yorkshire and The Humber,4473
2020-10-06,East Midlands,3668
2020-10-06,East of England,5013
2020-10-06,London,7230
2020-10-06,North East,2714
2020-10-06,North West,7821
2020-10-06,South East,6202
2020-10-06,South West,2311
2020-10-06,West Midlands,5664
2020-10-06,Yorkshire and The Humber,4481
2020-10-07,East Midlands,3674
2020-10-07,East of England,5017
2020-10-07,London,7242
2020-10-07,North East,2724
2020-10-07,North West,7858
2020-10-07,South East,6217
2020-10-07,South West,2317
2020-10-07,West Midlands,5674
2020-10-07,Yorkshire and The Humber,4489
2020-10-08,East Midlands,3689
2020-10-08,East of England,5025
2020-10-08,London,7258
2020-10-08,North East,2737
2020-10-08,North West,7890
2020-10-08,South East,6229
2020-10-08,South West,2321
2020-10-08,West Midlands,5695
2020-10-08,Yorkshire and The Humber,4501
2020-10-09,East Midlands,3703
2020-10-09,East of England,5039
2020-10-09,London,7278
2020-10-09,North East,2754
2020-10-09,North West,7940
2020-10-09,South East,6242
2020-10-09,South West,2325
2020-10-09,West Midlands,5704
2020-10-09,Yorkshire and The Humber,4516
2020-10-10,East Midlands,3707
2020-10-10,East of England,5041
2020-10-10,London,7285
2020-10-10,North East,2765
2020-10-10,North West,7950
2020-10-10,South East,6238
2020-10-10,South West,2333
2020-10-10,West Midlands,5703
2020-10-10,Yorkshire and The Humber,4527
2020-10-11,East Midlands,3710
2020-10-11,East of England,5048
2020-10-11,London,7299
2020-10-11,North East,2773
2020-10-11,North West,7991
2020-10-11,South East,6253
2020-10-11,South West,2332
2020-10-11,West Midlands,5729
2020-10-11,Yorkshire and The Humber,4545
2020-10-12,East Midlands,3709
2020-10-12,East of England,5053
2020-10-12,London,7303
2020-10-12,North East,2778
2020-10-12,North West,8003
2020-10-12,South East,6253
2020-10-12,South West,2333
2020-10-12,West Midlands,5736
2020-10-12,Yorkshire and The Humber,4552
2020-10-13,East Midlands,3722
2020-10-13,East of England,5064
2020-10-13,London,7312
2020-10-13,North East,2807
2020-10-13,North West,8055
2020-10-13,South East,6269
2020-10-13,South West,2341
2020-10-13,West Midlands,5753
2020-10-13,Yorkshire and The Humber,4569
2020-10-14,East Midlands,3738
2020-10-14,East of England,5068
2020-10-14,London,7326
2020-10-14,North East,2823
2020-10-14,North West,8097
2020-10-14,South East,6280
2020-10-14,South West,2348
2020-10-14,West Midlands,5762
2020-10-14,Yorkshire and The Humber,4591
2020-10-15,East Midlands,3751
2020-10-15,East of England,5077
2020-10-15,London,7334
2020-10-15,North East,2842
2020-10-15,North West,8149
2020-10-15,South East,6295
2020-10-15,South West,2353
2020-10-15,West Midlands,5775
2020-10-15,Yorkshire and The Humber,4614
2020-10-16,East Midlands,3769
2020-10-16,East of England,5087
2020-10-16,London,7350
2020-10-16,North East,2868
2020-10-16,North West,8195
2020-10-16,South East,6313
2020-10-16,South West,2360
2020-10-16,West Midlands,5794
2020-10-16,Yorkshire and The Humber,4636
2020-10-17,East Midlands,3780
2020-10-17,East of England,5096
2020-10-17,London,7364
