日期,地区,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,迁入指数,迁出指数,温度,湿度,aqi,医疗救治医院,发热门诊,人口
20200126,沈阳,1.0,0,0,6.0,0,0,2.531412,3.117204,-8.5,61.54,264.04,22.0,21.0,810.62
20200126,长春,0,0,0,1.0,0,0,2.2269168,2.3744988,-11.57,64.78,263.83,22.0,14.0,767.71
20200126,哈尔滨,0,0,0,8.0,0,0,1.7673228,1.8128124,-16.35,68.39,228.78,63.0,63.0,1063.6
20200126,上海,13.0,0,0,53.0,1.0,1.0,3.6312948,4.1795352,8.09,95.3,25.0,115.0,115.0,2301.91
20200126,南京,0,0,0,7.0,0,0,2.3406732,2.9502792,4.48,100.0,34.74,50.0,50.0,800.47
20200126,杭州,0,0,0,27.0,0,0,2.2091292,2.6564112,6.09,95.96,18.74,48.0,46.0,870.04
20200126,合肥,0,0,0,13.0,0,0,2.7406188,2.7153144,0.92,98.33,38.08,29.0,28.0,570.2
20200126,福州,4.0,0,0,13.0,0,0,0.8034228,1.0506024,13.33,93.5,15.5,202.0,199.0,711.54
20200126,南昌,4.0,0,0,8.0,0,0,1.1259,1.1044188,4.21,91.54,16.58,26.0,25.0,504.26
20200126,济南,4.0,0,0,7.0,0,0,2.609982,1.850202,1.87,56.83,127.83,55.0,55.0,681.4
20200126,郑州,9.0,0,0,29.0,0,0,4.9686372,2.4404004,2.73,66.95,128.0,62.0,60.0,862.65
20200126,长沙,4.0,0,0,22.0,0,0,3.0989304,3.1474332,3.78,86.52,68.57,46.0,46.0,704.41
20200126,广州,25.0,0,0,39.0,0,0,3.257982,4.7246328,11.21,82.96,11.71,115.0,113.0,1270.08
20200126,南宁,4.0,0,0,5.0,0,0,1.8445968,1.861218,9.74,77.0,16.3,13.0,13.0,666.16
20200126,海口,3.0,0,0,6.0,0,0,1.2686868,1.20123,14.7,91.3,15.48,27.0,27.0,204.62
20200126,重庆,35.0,0,0,110.0,0,0,4.347756,4.8229668,7.57,90.3,54.61,141.0,129.0,2884.62
20200126,成都,11.0,0,0,33.0,0,0,6.0532272,7.3129392,6.88,76.63,54.08,313.0,309.0,1404.76
20200126,贵阳,0,0,0,1.0,0,0,1.9377468,2.5391556,1.04,92.09,41.65,35.0,29.0,432.46
20200126,昆明,3.0,0,0,7.0,0,0,2.2342068,2.7200124,5.35,69.78,41.09,49.0,48.0,643.2
20200126,拉萨,0,0,0,0,0,0,0.21303,0.3020004,-2.48,21.7,23.04,2.0,0,55.94
20200126,西安,4.0,0,0,12.0,0,0,3.3599124,3.5284572,3.04,91.0,205.75,86.0,82.0,846.78
20200126,兰州,4.0,0,0,8.0,0,0,0.8928144,1.0392948,-2.42,71.96,79.75,12.0,0,361.62
20200126,西宁,3.0,0,0,4.0,0,0,0.6694164,0.9064872,-6.67,56.42,60.21,12.0,11.0,220.87
20200126,银川,3.0,0,0,5.0,0,0,1.0763604,1.3211424,0.61,59.78,67.22,23.0,23.0,199.31
20200126,乌鲁木齐,1.0,0,0,4.0,0,0,1.135458,1.5669936,-7.74,71.0,125.17,41.0,41.0,311.03
20200127,北京,19.0,0,1.0,91.0,2.0,1.0,6.3441792,3.6684252,-0.13,62.26,212.39,106.0,101.0,1961.2
20200127,天津,9.0,0,0,23.0,0,0,2.5123608,1.3991616,2.67,71.33,285.63,47.0,47.0,1293.82
20200127,石家庄,2.0,0,0,9.0,0,0,1.6445592,1.1386656,1.83,67.65,219.48,55.0,55.0,1016.38
20200127,太原,1.0,0,0,3.0,0,0,1.4123484,1.167048,-0.83,73.5,105.79,34.0,34.0,420.16
20200127,呼和浩特,0,0,0,0,0,0,1.0468116,0.8806968,-5.63,60.42,168.58,18.0,17.0,286.66
20200127,沈阳,2.0,0,0,8.0,0,0,3.0085668,2.0435328,-5.58,60.33,141.17,22.0,21.0,810.62
20200127,长春,0,0,0,1.0,0,0,2.7441828,1.9410192,-7.29,55.92,152.96,22.0,14.0,767.71
20200127,哈尔滨,2.0,0,0,10.0,0,0,2.1151044,1.7663508,-13.33,70.33,156.79,63.0,63.0,1063.6
20200127,上海,13.0,2.0,0,66.0,3.0,1.0,5.2192188,2.8482192,5.87,92.25,32.5,115.0,115.0,2301.91
20200127,南京,3.0,0,0,10.0,0,0,3.3423516,1.9354464,2.96,99.75,67.21,50.0,50.0,800.47
20200127,杭州,5.0,0,0,32.0,0,0,2.57742,1.8712296,4.88,83.96,21.42,48.0,46.0,870.04
20200127,合肥,3.0,0,0,16.0,0,0,2.8861596,1.9193112,0.5,99.0,76.5,29.0,28.0,570.2
20200127,福州,4.0,0,0,18.0,0,0,0.9985356,0.871074,10.79,65.17,15.37,202.0,199.0,711.54
20200127,南昌,9.0,0,0,17.0,0,0,1.069848,1.0069272,4.63,78.67,37.17,26.0,25.0,504.26
20200127,济南,3.0,0,0,10.0,0,0,2.7958608,1.1654928,2.12,58.46,93.92,55.0,55.0,681.4
20200127,郑州,8.0,0,0,37.0,0,0,3.839562,1.3906728,2.57,62.22,103.78,62.0,60.0,862.65
20200127,长沙,2.0,0,0,24.0,0,0,3.3860268,2.1721932,4.21,77.29,75.17,46.0,46.0,704.41
20200127,广州,12.0,0,0,51.0,0,0,4.7323764,3.4173576,9.92,63.42,15.75,115.0,113.0,1270.08
20200127,南宁,0,0,0,5.0,0,0,2.329398,1.5559128,9.21,66.5,24.88,13.0,13.0,666.16
20200127,海口,1.0,0,0,7.0,0,0,1.2343104,0.843858,12.74,92.22,20.52,27.0,27.0,204.62
